,category,price,quantity,order_date,shipping_date,delivery_status,payment_method,device_type,channel,customer_segment,order_month,order_day,order_hour,shipping_month,shipping_day,shipping_hour,delivery_time
51,Home,362.08,2,2024-04-21 14:59:58.897063,2024-04-22 14:59:58.897063,Delivered,Apple Pay,Tablet,Social,VIP,4,21,14,4,22,14,1
52,Electronics,496.82,2,2024-04-21 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Apple Pay,Mobile,Organic,Returning,4,21,14,4,27,14,6
53,Books,116.35,1,2024-04-21 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Google Pay,Desktop,Paid Search,Returning,4,21,14,4,27,14,6
54,Electronics,263.78,2,2024-04-21 14:59:58.897063,2024-04-25 14:59:58.897063,Pending,Apple Pay,Desktop,Social,VIP,4,21,14,4,25,14,4
55,Toys,361.63,3,2024-04-21 14:59:58.897063,2024-04-28 14:59:58.897063,Shipped,PayPal,Tablet,Social,VIP,4,21,14,4,28,14,7
56,Home,253.4,4,2024-04-21 14:59:58.897063,2024-04-27 14:59:58.897063,Shipped,Credit Card,Desktop,Social,VIP,4,21,14,4,27,14,6
57,Clothing,313.22,1,2024-04-21 14:59:58.897063,2024-04-24 14:59:58.897063,Delivered,Credit Card,Tablet,Social,Returning,4,21,14,4,24,14,3
58,Beauty,157.61,3,2024-04-22 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Apple Pay,Desktop,Email,VIP,4,22,14,4,26,14,4
59,Clothing,224.16,1,2024-04-22 14:59:58.897063,2024-04-26 14:59:58.897063,Shipped,Debit Card,Mobile,Paid Search,Returning,4,22,14,4,26,14,4
60,Clothing,189.2,1,2024-04-22 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,PayPal,Desktop,Email,VIP,4,22,14,4,27,14,5
61,Home,198.57,4,2024-04-22 14:59:58.897063,2024-04-28 14:59:58.897063,Shipped,PayPal,Mobile,Paid Search,VIP,4,22,14,4,28,14,6
62,Books,159.96,4,2024-04-22 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,Apple Pay,Desktop,Email,VIP,4,22,14,4,25,14,3
63,Toys,387.29,2,2024-04-22 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,PayPal,Desktop,Social,Returning,4,22,14,4,26,14,4
64,Electronics,269.95,3,2024-04-22 14:59:58.897063,2024-04-25 14:59:58.897063,Shipped,Credit Card,Mobile,Organic,Returning,4,22,14,4,25,14,3
65,Clothing,278.41,2,2024-04-22 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Apple Pay,Tablet,Social,Returning,4,22,14,4,27,14,5
66,Clothing,437.21,1,2024-04-22 14:59:58.897063,2024-04-28 14:59:58.897063,Delivered,Google Pay,Mobile,Social,VIP,4,22,14,4,28,14,6
67,Books,150.49,2,2024-04-22 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,PayPal,Desktop,Email,VIP,4,22,14,4,27,14,5
68,Toys,451.94,1,2024-04-22 14:59:58.897063,2024-04-24 14:59:58.897063,Delivered,Debit Card,Desktop,Social,Returning,4,22,14,4,24,14,2
69,Clothing,201.22,1,2024-04-22 14:59:58.897063,2024-04-23 14:59:58.897063,Delivered,PayPal,Desktop,Email,VIP,4,22,14,4,23,14,1
70,Home,375.78,2,2024-04-22 14:59:58.897063,2024-04-29 14:59:58.897063,Pending,Apple Pay,Mobile,Email,Returning,4,22,14,4,29,14,7
71,Beauty,105.49,1,2024-04-22 14:59:58.897063,2024-04-26 14:59:58.897063,Shipped,Credit Card,Desktop,Paid Search,Returning,4,22,14,4,26,14,4
72,Home,311.83,1,2024-04-22 14:59:58.897063,2024-04-28 14:59:58.897063,Shipped,Apple Pay,Mobile,Paid Search,Returning,4,22,14,4,28,14,6
73,Clothing,164.69,1,2024-04-22 14:59:58.897063,2024-04-29 14:59:58.897063,Delivered,Credit Card,Tablet,Social,VIP,4,22,14,4,29,14,7
74,Books,341.38,3,2024-04-22 14:59:58.897063,2024-04-24 14:59:58.897063,Delivered,Debit Card,Tablet,Social,VIP,4,22,14,4,24,14,2
75,Electronics,474.66,1,2024-04-22 14:59:58.897063,2024-04-24 14:59:58.897063,Delivered,Credit Card,Desktop,Organic,VIP,4,22,14,4,24,14,2
76,Beauty,219.4,1,2024-04-22 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,Debit Card,Mobile,Organic,VIP,4,22,14,4,25,14,3
77,Toys,39.43,1,2024-04-22 14:59:58.897063,2024-04-24 14:59:58.897063,Delivered,Apple Pay,Desktop,Organic,Returning,4,22,14,4,24,14,2
78,Books,365.79,3,2024-04-22 14:59:58.897063,2024-04-27 14:59:58.897063,Returned,Debit Card,Mobile,Paid Search,Returning,4,22,14,4,27,14,5
79,Books,153.26,1,2024-04-22 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Apple Pay,Tablet,Organic,Returning,4,22,14,4,26,14,4
80,Electronics,71.87,3,2024-04-22 14:59:58.897063,2024-04-29 14:59:58.897063,Pending,Credit Card,Mobile,Organic,Returning,4,22,14,4,29,14,7
81,Clothing,162.69,1,2024-04-22 14:59:58.897063,2024-04-24 14:59:58.897063,Delivered,Debit Card,Tablet,Paid Search,VIP,4,22,14,4,24,14,2
82,Electronics,490.26,1,2024-04-22 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,PayPal,Mobile,Email,Returning,4,22,14,4,26,14,4
83,Books,93.74,4,2024-04-22 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,PayPal,Desktop,Paid Search,Returning,4,22,14,4,25,14,3
84,Books,197.88,1,2024-04-22 14:59:58.897063,2024-04-25 14:59:58.897063,Shipped,Debit Card,Tablet,Email,VIP,4,22,14,4,25,14,3
85,Books,24.96,3,2024-04-22 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,Apple Pay,Desktop,Social,Returning,4,22,14,4,25,14,3
86,Books,66.04,3,2024-04-22 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Apple Pay,Tablet,Email,VIP,4,22,14,4,27,14,5
87,Clothing,164.94,2,2024-04-22 14:59:58.897063,2024-04-29 14:59:58.897063,Delivered,PayPal,Desktop,Email,VIP,4,22,14,4,29,14,7
88,Clothing,23.34,2,2024-04-22 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Google Pay,Tablet,Social,Returning,4,22,14,4,27,14,5
89,Electronics,225.2,3,2024-04-22 14:59:58.897063,2024-04-29 14:59:58.897063,Delivered,PayPal,Tablet,Paid Search,New,4,22,14,4,29,14,7
90,Beauty,138.59,3,2024-04-22 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Debit Card,Tablet,Social,Returning,4,22,14,4,26,14,4
91,Electronics,135.03,4,2024-04-22 14:59:58.897063,2024-04-24 14:59:58.897063,Delivered,Debit Card,Tablet,Email,Returning,4,22,14,4,24,14,2
92,Books,91.87,5,2024-04-22 14:59:58.897063,2024-04-28 14:59:58.897063,Delivered,Google Pay,Desktop,Organic,VIP,4,22,14,4,28,14,6
93,Toys,152.32,1,2024-04-22 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Debit Card,Tablet,Social,VIP,4,22,14,4,27,14,5
94,Home,329.5,1,2024-04-22 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Apple Pay,Tablet,Email,VIP,4,22,14,4,26,14,4
95,Books,196.53,4,2024-04-22 14:59:58.897063,2024-04-27 14:59:58.897063,Shipped,Google Pay,Tablet,Paid Search,VIP,4,22,14,4,27,14,5
96,Books,386.49,2,2024-04-22 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,Apple Pay,Desktop,Social,Returning,4,22,14,4,25,14,3
97,Beauty,56.32,1,2024-04-23 14:59:58.897063,2024-04-29 14:59:58.897063,Shipped,Apple Pay,Tablet,Organic,New,4,23,14,4,29,14,6
98,Electronics,63.13,1,2024-04-23 14:59:58.897063,2024-04-27 14:59:58.897063,Shipped,Apple Pay,Tablet,Social,Returning,4,23,14,4,27,14,4
99,Clothing,51.48,2,2024-04-23 14:59:58.897063,2024-04-29 14:59:58.897063,Delivered,Apple Pay,Desktop,Social,VIP,4,23,14,4,29,14,6
100,Books,391.54,2,2024-04-23 14:59:58.897063,2024-04-27 14:59:58.897063,Shipped,Google Pay,Desktop,Social,VIP,4,23,14,4,27,14,4
101,Electronics,259.36,1,2024-04-23 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Debit Card,Mobile,Social,Returning,4,23,14,4,27,14,4
102,Books,378.27,3,2024-04-23 14:59:58.897063,2024-04-29 14:59:58.897063,Delivered,Apple Pay,Desktop,Paid Search,VIP,4,23,14,4,29,14,6
103,Home,107.48,3,2024-04-23 14:59:58.897063,2024-04-26 14:59:58.897063,Shipped,PayPal,Desktop,Social,Returning,4,23,14,4,26,14,3
104,Electronics,499.9,2,2024-04-23 14:59:58.897063,2024-04-30 14:59:58.897063,Delivered,Debit Card,Tablet,Organic,VIP,4,23,14,4,30,14,7
105,Clothing,297.48,1,2024-04-23 14:59:58.897063,2024-04-30 14:59:58.897063,Delivered,PayPal,Mobile,Organic,VIP,4,23,14,4,30,14,7
106,Beauty,245.69,3,2024-04-23 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,PayPal,Tablet,Paid Search,Returning,4,23,14,4,27,14,4
107,Books,98.14,1,2024-04-23 14:59:58.897063,2024-04-30 14:59:58.897063,Shipped,Credit Card,Desktop,Social,Returning,4,23,14,4,30,14,7
108,Electronics,49.49,2,2024-04-23 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Debit Card,Tablet,Email,Returning,4,23,14,4,27,14,4
109,Books,45.26,1,2024-04-23 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,PayPal,Mobile,Paid Search,Returning,4,23,14,4,27,14,4
110,Beauty,67.61,2,2024-04-23 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Apple Pay,Desktop,Organic,VIP,4,23,14,4,27,14,4
111,Clothing,471.53,2,2024-04-23 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Credit Card,Tablet,Organic,Returning,4,23,14,4,26,14,3
112,Home,60.33,4,2024-04-23 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Apple Pay,Tablet,Email,VIP,4,23,14,4,27,14,4
113,Clothing,330.9,2,2024-04-23 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,Credit Card,Desktop,Email,Returning,4,23,14,4,25,14,2
114,Electronics,143.32,2,2024-04-23 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,Credit Card,Desktop,Social,VIP,4,23,14,4,25,14,2
115,Home,494.51,1,2024-04-23 14:59:58.897063,2024-04-30 14:59:58.897063,Delivered,Credit Card,Mobile,Paid Search,VIP,4,23,14,4,30,14,7
116,Beauty,203.22,2,2024-04-23 14:59:58.897063,2024-04-24 14:59:58.897063,Delivered,Debit Card,Desktop,Email,Returning,4,23,14,4,24,14,1
117,Home,284.78,3,2024-04-23 14:59:58.897063,2024-04-28 14:59:58.897063,Delivered,Google Pay,Mobile,Organic,VIP,4,23,14,4,28,14,5
118,Books,79.93,3,2024-04-23 14:59:58.897063,2024-04-30 14:59:58.897063,Delivered,Google Pay,Desktop,Email,VIP,4,23,14,4,30,14,7
119,Books,289.25,3,2024-04-23 14:59:58.897063,2024-04-24 14:59:58.897063,Shipped,Credit Card,Mobile,Paid Search,Returning,4,23,14,4,24,14,1
120,Beauty,216.6,1,2024-04-24 14:59:58.897063,2024-04-28 14:59:58.897063,Delivered,Google Pay,Tablet,Email,VIP,4,24,14,4,28,14,4
121,Toys,135.83,2,2024-04-24 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,Debit Card,Mobile,Social,Returning,4,24,14,4,25,14,1
122,Electronics,15.13,1,2024-04-24 14:59:58.897063,2024-04-28 14:59:58.897063,Delivered,Google Pay,Mobile,Email,VIP,4,24,14,4,28,14,4
123,Beauty,52.29,2,2024-04-24 14:59:58.897063,2024-04-27 14:59:58.897063,Shipped,Apple Pay,Desktop,Email,VIP,4,24,14,4,27,14,3
124,Beauty,169.93,3,2024-04-24 14:59:58.897063,2024-05-01 14:59:58.897063,Returned,Credit Card,Desktop,Organic,Returning,4,24,14,5,1,14,7
125,Books,316.19,1,2024-04-24 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Credit Card,Mobile,Paid Search,Returning,4,24,14,4,27,14,3
126,Beauty,363.98,3,2024-04-24 14:59:58.897063,2024-05-01 14:59:58.897063,Pending,PayPal,Desktop,Paid Search,VIP,4,24,14,5,1,14,7
127,Beauty,120.26,1,2024-04-24 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,PayPal,Desktop,Paid Search,VIP,4,24,14,4,27,14,3
128,Toys,292.71,1,2024-04-24 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Credit Card,Mobile,Email,Returning,4,24,14,4,26,14,2
129,Toys,423.75,1,2024-04-24 14:59:58.897063,2024-04-25 14:59:58.897063,Returned,Debit Card,Mobile,Paid Search,VIP,4,24,14,4,25,14,1
130,Clothing,436.52,1,2024-04-24 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,PayPal,Mobile,Social,Returning,4,24,14,4,25,14,1
131,Electronics,429.13,5,2024-04-24 14:59:58.897063,2024-05-01 14:59:58.897063,Delivered,Google Pay,Mobile,Organic,VIP,4,24,14,5,1,14,7
132,Electronics,244.56,3,2024-04-24 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Apple Pay,Tablet,Email,VIP,4,24,14,4,26,14,2
133,Home,89.94,4,2024-04-24 14:59:58.897063,2024-04-26 14:59:58.897063,Shipped,Debit Card,Tablet,Email,Returning,4,24,14,4,26,14,2
134,Clothing,332.58,1,2024-04-24 14:59:58.897063,2024-05-01 14:59:58.897063,Shipped,Apple Pay,Tablet,Social,Returning,4,24,14,5,1,14,7
135,Beauty,314.69,1,2024-04-24 14:59:58.897063,2024-04-28 14:59:58.897063,Returned,Apple Pay,Mobile,Email,VIP,4,24,14,4,28,14,4
136,Toys,296.71,5,2024-04-24 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,Apple Pay,Desktop,Social,Returning,4,24,14,4,27,14,3
137,Electronics,359.67,1,2024-04-24 14:59:58.897063,2024-04-30 14:59:58.897063,Delivered,Apple Pay,Tablet,Organic,Returning,4,24,14,4,30,14,6
138,Clothing,474.62,1,2024-04-24 14:59:58.897063,2024-05-01 14:59:58.897063,Delivered,Credit Card,Desktop,Paid Search,Returning,4,24,14,5,1,14,7
139,Clothing,408.76,4,2024-04-24 14:59:58.897063,2024-04-28 14:59:58.897063,Delivered,Debit Card,Mobile,Email,VIP,4,24,14,4,28,14,4
140,Books,394.99,2,2024-04-24 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,Debit Card,Desktop,Email,VIP,4,24,14,4,25,14,1
141,Home,334.74,3,2024-04-24 14:59:58.897063,2024-04-30 14:59:58.897063,Shipped,PayPal,Mobile,Email,Returning,4,24,14,4,30,14,6
142,Books,374.04,1,2024-04-24 14:59:58.897063,2024-04-27 14:59:58.897063,Pending,Credit Card,Tablet,Social,VIP,4,24,14,4,27,14,3
143,Home,126.51,1,2024-04-24 14:59:58.897063,2024-04-28 14:59:58.897063,Pending,Google Pay,Desktop,Email,New,4,24,14,4,28,14,4
144,Electronics,209.54,2,2024-04-24 14:59:58.897063,2024-04-28 14:59:58.897063,Delivered,Google Pay,Desktop,Social,Returning,4,24,14,4,28,14,4
145,Beauty,383.97,3,2024-04-24 14:59:58.897063,2024-04-30 14:59:58.897063,Shipped,PayPal,Tablet,Paid Search,VIP,4,24,14,4,30,14,6
146,Home,211.49,4,2024-04-24 14:59:58.897063,2024-04-25 14:59:58.897063,Delivered,Google Pay,Mobile,Social,VIP,4,24,14,4,25,14,1
147,Books,96.12,2,2024-04-24 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,PayPal,Mobile,Organic,VIP,4,24,14,4,26,14,2
148,Books,79.22,2,2024-04-24 14:59:58.897063,2024-04-28 14:59:58.897063,Pending,PayPal,Tablet,Paid Search,New,4,24,14,4,28,14,4
149,Electronics,405.57,1,2024-04-25 14:59:58.897063,2024-05-02 14:59:58.897063,Shipped,PayPal,Mobile,Email,New,4,25,14,5,2,14,7
150,Books,429.6,4,2024-04-25 14:59:58.897063,2024-05-01 14:59:58.897063,Pending,Google Pay,Desktop,Paid Search,VIP,4,25,14,5,1,14,6
151,Home,337.61,2,2024-04-25 14:59:58.897063,2024-05-01 14:59:58.897063,Delivered,Apple Pay,Tablet,Paid Search,Returning,4,25,14,5,1,14,6
152,Electronics,151.11,4,2024-04-25 14:59:58.897063,2024-05-01 14:59:58.897063,Shipped,Credit Card,Mobile,Email,VIP,4,25,14,5,1,14,6
153,Home,192.02,2,2024-04-25 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Apple Pay,Tablet,Email,Returning,4,25,14,4,26,14,1
154,Electronics,74.59,1,2024-04-25 14:59:58.897063,2024-05-01 14:59:58.897063,Delivered,Apple Pay,Desktop,Email,VIP,4,25,14,5,1,14,6
155,Books,342.64,4,2024-04-25 14:59:58.897063,2024-04-29 14:59:58.897063,Returned,PayPal,Tablet,Organic,Returning,4,25,14,4,29,14,4
156,Toys,169.93,1,2024-04-25 14:59:58.897063,2024-05-02 14:59:58.897063,Pending,Debit Card,Mobile,Email,Returning,4,25,14,5,2,14,7
157,Home,200.68,3,2024-04-25 14:59:58.897063,2024-04-27 14:59:58.897063,Delivered,PayPal,Desktop,Paid Search,VIP,4,25,14,4,27,14,2
158,Clothing,331.34,1,2024-04-25 14:59:58.897063,2024-04-29 14:59:58.897063,Shipped,Credit Card,Mobile,Organic,VIP,4,25,14,4,29,14,4
159,Toys,289.34,3,2024-04-25 14:59:58.897063,2024-04-30 14:59:58.897063,Shipped,Credit Card,Mobile,Email,VIP,4,25,14,4,30,14,5
160,Clothing,6.49,3,2024-04-25 14:59:58.897063,2024-04-29 14:59:58.897063,Delivered,PayPal,Desktop,Social,Returning,4,25,14,4,29,14,4
161,Beauty,139.81,4,2024-04-25 14:59:58.897063,2024-05-02 14:59:58.897063,Shipped,Google Pay,Desktop,Social,Returning,4,25,14,5,2,14,7
162,Home,229.5,1,2024-04-25 14:59:58.897063,2024-05-01 14:59:58.897063,Shipped,PayPal,Desktop,Email,VIP,4,25,14,5,1,14,6
163,Books,492.39,1,2024-04-25 14:59:58.897063,2024-04-30 14:59:58.897063,Delivered,Apple Pay,Mobile,Paid Search,VIP,4,25,14,4,30,14,5
164,Home,131.34,1,2024-04-25 14:59:58.897063,2024-05-02 14:59:58.897063,Delivered,Apple Pay,Desktop,Paid Search,VIP,4,25,14,5,2,14,7
165,Books,270.33,2,2024-04-25 14:59:58.897063,2024-04-30 14:59:58.897063,Pending,Credit Card,Mobile,Email,Returning,4,25,14,4,30,14,5
166,Electronics,122.03,1,2024-04-25 14:59:58.897063,2024-04-30 14:59:58.897063,Returned,Google Pay,Tablet,Organic,Returning,4,25,14,4,30,14,5
167,Toys,45.47,5,2024-04-25 14:59:58.897063,2024-04-30 14:59:58.897063,Delivered,Apple Pay,Tablet,Paid Search,Returning,4,25,14,4,30,14,5
168,Beauty,184.17,1,2024-04-25 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Apple Pay,Mobile,Paid Search,Returning,4,25,14,4,26,14,1
